"2021-07-13 16:14:05 [restartedMain] INFO  c.v.v.ValidationModuleApplication - Starting ValidationModuleApplication using Java 16.0.1 on WINDOWS-RUASI72 with PID 8796 (C:\Users\user\Desktop\Java\validationModule\target\classes started by user in C:\Users\user\Desktop\Java\validationModule)
""2021-07-13 16:32:16 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2021-07-13 16:32:16 [restartedMain] INFO  c.v.v.ValidationModuleApplication - Started ValidationModuleApplication in 18.4 seconds (JVM running for 21.405)
""2021-07-13 16:32:17 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2021-07-13 16:32:18 [http-nio-8080-exec-1] INFO  c.v.v.aspect.ValidationAspect - aop detected parameter irregularity{"httpStatus":400,"data":"empty","list":["position cannot be empty","error_validate_email","fathername cannot be empty","username cannot be empty","name cannot be empty"]}
""2021-07-13 16:35:27 [restartedMain] INFO  c.v.v.ValidationModuleApplication - Starting ValidationModuleApplication using Java 16.0.1 on WINDOWS-RUASI72 with PID 5296 (C:\Users\user\Desktop\Java\validationModule\target\classes started by user in C:\Users\user\Desktop\Java\validationModule)
""2021-07-13 16:35:27 [restartedMain] INFO  c.v.v.ValidationModuleApplication - No active profile set, falling back to default profiles: default
""2021-07-13 16:35:28 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2021-07-13 16:35:28 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2021-07-13 16:35:37 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2021-07-13 16:35:37 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2021-07-13 16:35:37 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
""2021-07-13 16:35:38 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2021-07-13 16:35:38 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 9855 ms
""2021-07-13 16:35:44 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2021-07-13 16:35:45 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2021-07-13 16:35:45 [restartedMain] INFO  c.v.v.ValidationModuleApplication - Started ValidationModuleApplication in 21.393 seconds (JVM running for 24.885)
""2021-07-13 16:35:46 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2021-07-13 16:35:47 [http-nio-8080-exec-2] INFO  c.v.v.aspect.ValidationAspect - Http Request [Ljava.lang.Object;@c22beb1
""2021-07-13 16:35:47 [http-nio-8080-exec-2] INFO  c.v.v.aspect.ValidationAspect - aop detected parameter irregularity{"httpStatus":400,"data":"empty","list":["name cannot be empty","username cannot be empty","fathername cannot be empty","position cannot be empty","error_validate_email"]}
""2021-07-13 16:36:54 [restartedMain] INFO  c.v.v.ValidationModuleApplication - Starting ValidationModuleApplication using Java 16.0.1 on WINDOWS-RUASI72 with PID 11316 (C:\Users\user\Desktop\Java\validationModule\target\classes started by user in C:\Users\user\Desktop\Java\validationModule)
""2021-07-13 16:36:54 [restartedMain] INFO  c.v.v.ValidationModuleApplication - No active profile set, falling back to default profiles: default
""2021-07-13 16:36:55 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2021-07-13 16:36:55 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2021-07-13 16:37:04 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2021-07-13 16:37:04 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2021-07-13 16:37:04 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
""2021-07-13 16:37:05 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2021-07-13 16:37:05 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 9220 ms
""2021-07-13 16:37:09 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2021-07-13 16:37:09 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2021-07-13 16:37:09 [restartedMain] INFO  c.v.v.ValidationModuleApplication - Started ValidationModuleApplication in 18.772 seconds (JVM running for 21.775)
""2021-07-13 16:37:42 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2021-07-13 16:37:43 [http-nio-8080-exec-2] INFO  c.v.v.aspect.ValidationAspect - Http Request UserDto(name= , userName=  , fatherName=, age=0, mobileNumber=705785256, email=zaurrfcode.edu.az, position= , about=java developer)
""2021-07-13 16:37:44 [http-nio-8080-exec-2] INFO  c.v.v.aspect.ValidationAspect - aop detected parameter irregularity{"httpStatus":400,"data":"empty","list":["username cannot be empty","error_validate_email","name cannot be empty","position cannot be empty","fathername cannot be empty"]}
"
